filename,width,height,class,xmin,ymin,xmax,ymax
apple_015.jpg,4000,3000,apple,954,559,2440,1830
apple_06.jpg,4000,3000,apple,1506,621,2778,2201
apple_01.jpg,1941,2595,apple,196,587,1792,2015
apple_4x5.jpg,480,480,apple,93,137,398,425
apple_1x200.jpg,480,480,apple,59,89,392,392
apple_2_20.jpg,480,480,apple,151,197,396,438
apple_5x115.jpg,480,480,apple,22,45,388,414
apple_51_4.jpg,480,480,apple,144,101,452,414
apple_11_5.jpg,480,480,apple,202,162,447,412
apple_1_5.jpg,480,480,apple,134,137,410,397
apple_1x160.jpg,480,480,apple,130,134,435,419
apple_07.jpg,4000,3000,apple,1297,801,2744,2201
apple_51_184.jpg,480,480,apple,113,76,443,415
apple_010.jpg,4000,3000,apple,1430,1435,2759,2597
apple_010.jpg,4000,3000,apple,2316,335,3583,1782
apple_4x170.jpg,480,480,apple,95,106,396,394
apple_7x5.jpg,480,480,apple,95,212,320,437
apple_33_5.jpg,480,480,apple,92,91,414,420
apple_2x90.jpg,480,480,apple,20,85,354,434
apple_1_315.jpg,480,480,apple,224,149,480,388
apple_6x5.jpg,480,480,apple,109,176,360,410
apple_08.jpg,4000,3000,apple,702,792,2164,2440
apple_08.jpg,4000,3000,apple,2111,592,3483,1878
apple_32_5.jpg,480,480,apple,122,128,411,407
apple_02.jpg,4000,3000,apple,1064,382,2483,1968
apple_013.jpg,4000,3000,apple,1740,849,2916,2101
apple_43_4.jpg,480,480,apple,152,110,414,376
apple_014.jpg,4000,3000,apple,1549,759,2740,1730
apple_3x85.jpg,480,480,apple,156,119,448,423
apple_2_210.jpg,480,480,apple,174,170,448,446
apple_5x5.jpg,480,480,apple,58,90,385,422
apple_04.jpg,4000,3000,apple,1202,854,2778,2182
apple_40_4.jpg,480,480,apple,168,151,382,393
apple_41_4.jpg,480,480,apple,95,83,376,386
apple_2_165.jpg,480,480,apple,144,195,395,449
apple_31_5.jpg,480,480,apple,148,109,414,375
apple_011.jpg,4000,3000,apple,1073,525,2140,1478
apple_011.jpg,4000,3000,apple,1202,1354,2206,2511
apple_51_152.jpg,480,480,apple,95,131,421,457
apple_31_395.jpg,480,480,apple,105,116,421,431
apple_03.jpg,2577,2995,apple,586,1026,1963,2254
apple_4x245.jpg,480,480,apple,6,61,360,415
apple_1_45.jpg,480,480,apple,102,169,348,399
apple_1x255.jpg,480,480,apple,62,109,378,399
apple_09.jpg,4000,3000,apple,897,440,2044,1449
apple_09.jpg,4000,3000,apple,1168,1316,2349,2563
apple_05.jpg,4000,3000,apple,1402,482,2725,1992
apple_2_115.jpg,480,480,apple,56,193,287,414
apple_2x185.jpg,480,480,apple,159,150,458,459
apple_1_100.jpg,480,480,apple,132,194,327,381
apple_1_210.jpg,480,480,apple,126,137,381,372
apple_1_270.jpg,480,480,apple,184,159,431,393
apple_012.jpg,4000,3000,apple,1268,887,2383,2149
apple_31_315.jpg,480,480,apple,153,182,430,470
apple_1x25.jpg,480,480,apple,118,133,414,407
apple_3x15.jpg,480,480,apple,61,112,385,443
apple_2_135.jpg,480,480,apple,140,208,381,446
